city_name,cluster,second_area
Київ,7,"Саперна слобідка, Хрести, Клов, Автозаводська, Видубичі, Залізничний масив, ТЦ Ocean Plaza, Бусове поле, КНУКіМ, Центр О.Довженка, Володимирський ринок, Будинок культури ім. Я.Батюка, Чорна гора, ТЦ ""Інтервал-Плаза"", Кадетський Гай, Печерський міст, Звіринець, Пологовий будинок № 1, Ширма, Багринова гора, Печерськ, Військовий госпіталь, Новопечерські липки, Свято-Введенський монастир, Голосіїв, Деміївка, ТЦ Олімпійський, Стадіон Олімпійський, Черепанова гора, Ринок Солом'янський, Турецьке Містечко, Парк ім. Шевченка, Міська лікарня №10, Божків яр, Совки, Бібліотека ім. В.І.Вернадського, Солом'янська площа, Нова забудова, Царське село, Мамаєва Слобода, Парк ім. М.Рильського, Китаїв, Національний ботанічний сад ім. М. М. Гришка, Експоцентр України, КНУТД, Парк Вічної Слави, Музей авіації, Печерський ринок, Батьківщина-Мати, Цимбалів яр, Олександрівська слобідка, Автовокзал, ТЦ River Mall, Спорткомплекс НУХТ, Жуляни, КНЛУ, Аеропорт ""Київ"", Монтажник"
Кривий Ріг,0,"Парк ""Саксаганський"", ТЦ ""Епіцентр"", Ринок ""Ювілейний"", Гірницький м-н, м-н Східний 3, м-н Східний 2, Стадіон ""Сонячний"", м-н Східний 1, ТЦ ""PROSPECT"", Торговий Дім, Міський центр зайнятості, Сквер Героїв Чорнобиля, КРЕС, Кінотеатр ""Олімп"", Міська лікарня №4, Довгинцеве, ТЦ ""City Mall"", Кінотеатр ""Юність"", ТЦ ""Terra Mall"""
Кривий Ріг,1,"Карачуни, Храм Різдва Пр. Богородиці, Гданцівка, Парк ім. Ю.Гагаріна, м-н Всебратське-2, Парк ім. Савицького, Краєзнавчий музей, Міська лікарня №3, ТЦ ""Ліберті"", ТРЦ ""Victory Plaza"", ТЦ ""Зірка"", Драмтеатр, Районна рада, Змичка, 95 квартал, Юнацький парк, Гданцівський парк, Чорногорка, Палац культури і техніки ПГЗК, Парк Будівельників"
Кривий Ріг,2,"Червона, Ж/д станція ""Рокувата"", Кінотеатр ""Олімп"""
Кривий Ріг,3,"Даманський м-н, Парк Північний, Карачуни, Педагогічний університет"
Кривий Ріг,4,"Соцмісто, Автовокзал, Парк ""Ювілейний"", ТРЦ ""Union"", Парк ім. Б.Хмельницького, 95 квартал, Оптовий ринок, Педагогічний університет, Карнаватка, РЦ ""FUN PARK"", Сквер біля Цирку, ТЦ ""Плаза"", Червона, Сквер 60-річчя Перемоги, СК ""Локомотив"", Ж/д станція ""Лісозахисна"", Парк Північний, ТЦ ""Зірка"", Довгинцеве, Ж/д станція ""Рокувата"", Гірницький м-н, Національний університет, Кінотеатр ""Юність"", Залізничний вокзал, Карачуни, Ж/д станція ""Батуринська"""
Кривий Ріг,5,"5-й Зарічний м-н, Палац спорту ""Молодість"", Парк Шахтарський, 4-й Зарічний м-н, КРЕС, Суха Балка, Міська лікарня №16, 44-й квартал, ТЦ ""Terra Mall"", Стадіон ""Гірник"", Рибасове, Палац культури ""Центральний"", 7-й Зарічний м-н, Перинатальний центр, Соколовка"
Кропивницький,0,"Полтавська, П'ять/П'ять, Автовокзал, Некрасівка, Парк ім. Крючкова"
Кропивницький,1,"Чечора, Автовокзал 2, Озерна балка, Обласна лікарня, Дендропарк міський, Фортеця святої Єлисавети, Друкарня, Критий ринок, ТЦ Плазма, Європейський ринок, Новоолексіївка"
Кропивницький,2,"Велика балка, Катранівка, ТЦ ДЕПОт Центр, Центр, Новомиколаївка, Попова, Шкільний, селище Гірниче, Автовокзал 2, Балашівка, Центральний ринок, Краєзнавчий музей, ТЦ Лісова пісня, Парк Козачий острів, Спасо-Преображенський кафедральний собор, П'ять/П'ять, Пам'ятник першому трамваю, Чечора, Ковалівський парк, Кущівка"
Кропивницький,3,"Маслениківка, селище Гірниче, Кущівка, Новоолексіївка, Пермське"
Кропивницький,4,"Лікарня Швидкої Допомоги, Новомиколаївка, Черемушки, Лелеківка, П'ять/П'ять, Миколаївський ринок"
Кропивницький,5,Полтавська
Кропивницький,6,"Попова, М-н Космонавтів, Жадова, Велмарт, 101-й мікрорайон, Епіцентр, Пацаєва, Черемушки"
Кропивницький,7,"Ковалівський парк, Ковалівка, селище Гірниче, Полтавська, Шкільний, Парк Козачий острів, Новомиколаївка, Балашівка, Озерна балка, Залізничний вокзал, Театральна площа, Парк ім. Крючкова"
Львів,0,"Парк ім. Івана Франка, Кульпарків, Піскові Озера, Victoria Gardens, Парк психіатричної лікарні, Кульпарківський парк, Аквапарк Пляж, Скнилівок, Вулька, ЦУМ, Сигнівка, Скнилівский парк, Скриня, Медик, Сріблястий, Гора Шембека, Sport Life Героїв УПА, Парк Боднарівка"
Львів,1,"Левандівка, Рясне, Львівський національний університет імені Івана Франка, Рясне-2, Парк ім. Івана Франка, Сріблястий"
Львів,2,"Замарстинiв, Голоско, Стадіон Прогрес, Львівський національний університет імені Івана Франка, Парк імені 700-річчя Львова, Палац культури ім. Гната Хоткевича, McDonald’s Чорновола, SPARTAK, Підзамче, Галицьке перехрестя, Автовокзал Північний, Sport Life Гетьмана Мазепи, Збоїща, СКА, Високий замок"
Львів,3,"Гора Шембека, Стадіон Динамо, Арена Львів, Парк Боднарівка, Львівський автовокзал, Новий Львів, Боднарівка, Вулька, ЦУМ, Горіховий гай, Шувар, Стрийський парк, Парк Залізна вода, Аквапарк Пляж"
Львів,4,"Погулянка, Площа Митна, Український Католицький Університет, Майорівка, Знесiння, ЛМНУ ім. Данила Галицького, Новий Львів, Пам'ятник королю Данилу Галицькому, Шевченківський гай, Софіївка, Mузей-заповідник Личаківський цвинтар, Львівський національний університет імені Івана Франка, Винниківський ринок, Личакiв, Снопківський парк, Великi Кривчицi, Гора Шембека, Сквер На валах, Стадіон Україна, Стрийський парк, Пам'ятник Михайлові Грушевському, Дім Єнотів"
Львів,5,"Парк культури та відпочинку імені Богдана Хмельницького, Автовокзал Двірцевий, Львівський національний університет імені Івана Франка, Церква св. Анни УГКЦ, Клепарів, Фридрихівка, Краківський ринок, Пам'ятник королю Данилу Галицькому, Парк ім. Івана Франка, Театр ляльок, Храм Святих Ольги і Єлизавети, Old City Hostel, McDonald’s Чорновола, Готель Львів, Головний залізничний вокзал, Sport Life Героїв УПА, Львівська Політехніка, Собор Святого Юра, Медик, Форум Львів, Цирк, Палац культури ім. Гната Хоткевича, Вірменський собор, Пам'ятник Тарасові Шевченку, Скриня, Стадіон Торпедо, Львівська Національна Опера, Національний драматичний театр імені Марії Заньковецької, Гора Шембека, СКА, Вулька, Площа Ринок, Львівська ратуша, Сквер На валах, Пам'ятник Михайлові Грушевському, Стадіон Динамо, Домініканський собор"
Львів,6,"ПАТ ІСКРА, Санта Барбара, Пасiки-Міські, Авторинок Зелене коло, Галицький ярмарок, Сихiв, Сквер Іоанна Павла II, Новий Львів, Сихівський ліс, Майорівка, Гора Шембека, Козельники, Пирогiвка, Кінопалац ім. О. Довженка, Погулянка, Sport Life Зубрівська"
Миколаїв,0,"Богоявленський, Балабанівка, Жовтневе"
Миколаїв,1,"Соляні, Магелан, Північний ринок, Тернівка, Центр, Північний"
Миколаїв,2,"Зоопарк, Парк Юність, Проспект Миру, Новий Водопій, Нове Садівництво, ПТЗ, Ринок Колос, Слобідка, Автовокзал, Кульбакине"
Миколаїв,3,"Центральний міський стадіон, Намив, Парк Шевченка, Сухий фонтан, Сонячний, Музей суднобудування і флоту, Залізничний вокзал, Дикий Сад, Центральний ринок, McDonald’s, Театр драми та музичної комедії, Ліски, Дитяче містечко Казка, Стадіон Юність, Художній драматичний театр, Каштановий сквер, Центр, Соляні"
Миколаїв,4,"Марк плаза, Кафедральний Собор, ТРЦ City Center, Слобідка, Манганарівський сквер, Автовокзал, Авторинок, Парк Юність, Намив, Університет ім. Петра Могили, Центр, Народний сад, Військова Слобідка, ПТЗ, Левади, McDonald’s, Ліски, Адміралтейський парк, Театр драми та музичної комедії, Каштановий сквер, Художній драматичний театр"
Миколаїв,5,"Ліски, Намив, Ринок Штрассе, Ліски-2, Парк Ліски, Центр, Проспект Миру, Сухий фонтан"
Миколаїв,6,"Старий Водопій, 13-а Лінія, Проспект Миру"
Одеса,0,"Черемушки, Дмитрівка, Таїрова, Фонтан, Дача Ковалевського, Південний-Захід, Успенський монастир, Парк 411 батареї, Південний, ТЦ Мегадім, Золотий берег, Парк Перемоги, Шкільний, ТЦ ""Вузівський"", Київський ринок, Люстдорф, Чорноморка, Великий  фонтан, Суднобудівник сел., Сквер ім. Академіка Корольова, Вузівський мікрорайон, Парк ім. М. Горького, Черьомушки ринок, Чубаївка, ТЦ Панорама, Авіаційний завод, Пасаж Менделевичів, Чарівний світ, Таїровський цвинтар, Ринок Південний"
Одеса,1,"McDonald's, Котовского селище, ТЦ ""Атріум"", Молодіжний Сквер, Траса здоров'я, Парк на Кримській, РАЦС, Парк Ентузіастів, Автошкола ПЕГАС, Кримський бульвар, Парк Лузанівка, ТЦ Хвиля, Обласний пологовий будинок, Обласна лікарня, Метро, Луна-парк Colorito, Парк ім. Добровольського, ТЦ Екватор, Північний ринок, Денрарій ""Суворовський"", Пам'ятник парашутистам, Пішохідний міст, Міська дитяча лікарня №3, Лузанівка, Одеса-Сортувальна, Спортклуб ""Чемпіон"", Собор архангела Гавриїла, Слобідка"
Одеса,2,"Храм Св. Марії Магдалини, пл.10 Квітня, Парк Перемоги, Іподром, Пляж ""Курортний"", Отрада, Аркадія, Парк Юність, ТЦ ""ЦУМ Одеса"", Центр, Юридична академія, Траса здоров'я, Середній фонтан, Дерибасівська, Кіностудія, Суднобудівник сел., Великий  фонтан, Аграрний університет, Сквер 7-ї станції, Парк Обласної Ради, ТЦ Kadorr City Mall, Пляж Відрада, Куликове Поле, Олімпійський сквер, Стадіон Спартак, Парк Космонавтів, Академія харчових технологій, FlySim Авіатренажер, Парк ""Азербайджан"", ТЦ Сади Перемоги, Луна-парк «Одеса», Вузівський мікрорайон, Фонтан, Ланжерон, Південний, Аркадійська алея, Палац спорту, Малий фонтан, Стадіон Динамо, Пляж Калетон, Одеська політехніка, Пасаж Менделевичів, Одеса-порт, Молдаванка, Консульство Болгарії, ТРЦ Gagarinn Plaza, Таїрова, Старосінний сквер, Черемушки, Старе місто, Дача Ковалевського, Стадіон Чорноморець, Чубаївка, Зоопарк, ТЦ ""Новий Привоз"", ТЦ Fontan Sky Center"
